지점	지점명	일시	습도	풍속	현지기압	기온
7149	파리	2019-01-01 0:00	84.2	5	1025.1	7.9
7149	파리	2019-01-01 3:00	90.8	4	1024.8	7
7149	파리	2019-01-01 6:00	88.9	4	1023.8	7.1
7149	파리	2019-01-01 9:00	84.2	4	1023.9	7.8
7149	파리	2019-01-01 12:00	76.9	7	1023.5	8.1
7149	파리	2019-01-01 15:00	76.9	7	1023	8.3
7149	파리	2019-01-01 18:00	90.8	4	1024.2	7.5
7149	파리	2019-01-01 21:00	92.7	6	1024.5	7.9
7149	파리	2019-01-02 0:00	76.2	12	1025.9	7.1
7149	파리	2019-01-02 3:00	82.1	10	1027.4	5.1
7149	파리	2019-01-02 6:00	70.1	8	1028	5.3
7149	파리	2019-01-02 9:00	69.7	7	1029.3	5.7
7149	파리	2019-01-02 12:00	69.8	9	1029.7	6.4
7149	파리	2019-01-02 15:00	63.1	9	1029.4	6.5
7149	파리	2019-01-02 18:00	65.8	8	1029.6	5.8
7149	파리	2019-01-02 21:00	80.2	9	1029.8	4.3
7149	파리	2019-01-03 0:00	83.7	5	1029.5	3.7
7149	파리	2019-01-03 3:00	84.9	6	1029.9	3.5
7149	파리	2019-01-03 6:00	86.8	4	1029.4	3.8
7149	파리	2019-01-03 9:00	86.2	7	1030.3	4.4
7149	파리	2019-01-03 12:00	77.1	8	1029.4	5.9
7149	파리	2019-01-03 15:00	70.7	10	1029.3	5.9
7149	파리	2019-01-03 18:00	74.8	5	1029.8	5.3
7149	파리	2019-01-03 21:00	82	6	1029.3	4.8
7149	파리	2019-01-04 0:00	89.3	7	1029.5	3.7
7149	파리	2019-01-04 3:00	91.7	6	1029.5	1.8
7149	파리	2019-01-04 6:00	93.7	5	1028.8	1.6
7149	파리	2019-01-04 9:00	93.2	6	1030.3	3.5
7149	파리	2019-01-04 12:00	72.7	7	1029.1	5.5
7149	파리	2019-01-04 15:00	69.1	7	1028.8	5.4
7149	파리	2019-01-04 18:00	71.1	6	1028.8	5.1
7149	파리	2019-01-04 21:00	69	9	1028.6	5
7149	파리	2019-01-05 0:00	75.7	9	1027.9	4
7149	파리	2019-01-05 3:00	71.9	8	1027.7	4
7149	파리	2019-01-05 6:00	70.9	7	1026.5	4
7149	파리	2019-01-05 9:00	74.7	7	1027	4.5
7149	파리	2019-01-05 12:00	74.9	7	1026.3	5.5
7149	파리	2019-01-05 15:00	77	7	1026.5	5.5
7149	파리	2019-01-05 18:00	73.8	5	1026.6	5.5
7149	파리	2019-01-05 21:00	71	9	1026.7	4.6
7149	파리	2019-01-06 0:00	72	8	1025.9	4.4
7149	파리	2019-01-06 3:00	74.1	8	1026.5	4.4
7149	파리	2019-01-06 6:00	74	3	1025.3	3.9
7149	파리	2019-01-06 9:00	80.2	3	1026.4	4
7149	파리	2019-01-06 12:00	77	6	1026.2	5.2
7149	파리	2019-01-06 15:00	77.1	5	1025.5	5.8
7149	파리	2019-01-06 18:00	85.7	4	1025.6	5.1
7149	파리	2019-01-06 21:00	90	3	1025.5	5.1
7149	파리	2019-01-07 0:00	90.7	4	1025.5	5.3
7149	파리	2019-01-07 3:00	92	1	1025.6	5.6
7149	파리	2019-01-07 6:00	90.7	2	1025.2	5.7
7149	파리	2019-01-07 9:00	90.7	5	1025.7	6.1
7149	파리	2019-01-07 12:00	78	4	1025.1	7.8
7149	파리	2019-01-07 15:00	90.8	8	1024.1	6.9
7149	파리	2019-01-07 18:00	92.7	6	1023.1	6.6
7149	파리	2019-01-07 21:00	92.1	7	1021.5	6.9
7149	파리	2019-01-08 0:00	95.3	9	1019	7.4
7149	파리	2019-01-08 3:00	94	10	1016.8	8.1
7149	파리	2019-01-08 6:00	89.1	8	1015.2	8.8
7149	파리	2019-01-08 9:00	74.8	10	1016	8.2
7149	파리	2019-01-08 12:00	70.8	11	1015.8	8.6
7149	파리	2019-01-08 15:00	63.1	10	1014.9	8.5
7149	파리	2019-01-08 18:00	70	9	1015.6	7.1
7149	파리	2019-01-08 21:00	71.9	9	1015.7	6.5
7149	파리	2019-01-09 0:00	65.8	7	1015.1	6
7149	파리	2019-01-09 3:00	64.8	12	1014	5.7
7149	파리	2019-01-09 6:00	70	10	1012.9	5
7149	파리	2019-01-09 9:00	73.1	10	1013.3	4.7
7149	파리	2019-01-09 12:00	79.2	11	1013.2	5.2
7149	파리	2019-01-09 15:00	67.7	13	1012.8	5.8
7149	파리	2019-01-09 18:00	80.8	8	1013.4	4
7149	파리	2019-01-09 21:00	83.1	9	1014.2	3.5
7149	파리	2019-01-10 0:00	77.7	7	1015.1	3
7149	파리	2019-01-10 3:00	77.1	9	1015.7	2.4
7149	파리	2019-01-10 6:00	78.7	4	1016.1	1.9
7149	파리	2019-01-10 9:00	80	7	1017.4	2.5
7149	파리	2019-01-10 12:00	71	8	1017.6	4.8
7149	파리	2019-01-10 15:00	68	10	1017.1	4.8
